label,article_id,title,abstract,content,severity_score,severity_label,distance_to_threshold,severity_strategy
1,189,Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks Òeverywhere.Ó,,,0.33,low,0.0,rule_based_default
1,463,Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.,,,0.33,low,0.0,rule_based_default
1,85,"A video has been viewed tens of thousands of times on Twitter, Facebook and YouTube alongside a claim that it shows the US Federal Bureau of Investigation (FBI) raiding a synagogue that was used to hoard face masks and other medical equipment.",,,0.33,low,0.0,rule_based_default
1,632,In North Carolina “you can be charged with a class H felony for wearing a mask and concealed carrying.”,,,0.33,low,0.0,rule_based_default
1,802,Social media users have shared a photo that claims to show a “Center for Global Human Population Reduction” affiliated with the Bill & Melinda Gates Foundation.,"trump pence again in 2020 c has 12,255 members. this group is dedicated to re electing president trump in 2020 to keep america great. ",join this group to post and comment .. ,0.33,low,0.0,rule_based_default
1,356,Nancy Pelosi tried to secure taxpayer funds for abortion through a coronavirus bill.,,,0.33,low,0.0,rule_based_default
1,630,If you are licensed to carry a concealed weapon wearing a face covering for coronavirus “removes your conceal carry ability.”,[],see more of chad hernandez on facebook. ,0.33,low,0.0,rule_based_default
1,201,ÒHereÕs the problem Ñ we are testing people for any strain of a coronavirus Ñ not specifically for COVID-19. There are no reliable tests for a specific COVID-19 virus.Ó,,the following is from a medical forum. the writer who is a widely respected professional scientist in the us prefers to stay anonymous because presenting any narrative different than the official one can cause you a lot of stress in the toxic environment caused by the scam which surrounds covid-19 these days. julian rose i work in the healthcare field. heres the problem we are testing people for any strain of a coronavirus. not specifically for covid-19. there are no reliable tests for a. ,0.33,low,0.0,rule_based_default
1,247,Roche has developed a COVID-19 vaccine.,,,0.33,low,0.0,rule_based_default
1,249,A photo showing UgandaÕs first case of COVID-19.,,,0.33,low,0.0,rule_based_default
1,464,"President Donald Trump tweeted, ÒCoronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions",,,0.33,low,0.0,rule_based_default
1,625,A painting depicting children in face masks was created as a mural for the Denver airport in 1994 proving the COVID-19 pandemic was planned.,,we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,0.33,low,0.0,rule_based_default
1,200,Whether coronavirus began with man having sex with a bat.,,chinese health authorities have confirmed the identity of the patient zero from whom the first case of coronavirus has originated. yin dao tang 24 from the province of hubei is the first case of the novel coronavirus that emerged on november 17 according to chinese government data. tang is believed to have contracted the disease after indulging in sexual acts with several animals including bats. chinese officials have warned to temporarily abstain from having sexual contact with any anim. ,0.33,low,0.0,rule_based_default
1,623,A “face mask exempt card” shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.,ted nugent added a new photo .. ,snag limbrats that daddy 22s out of the towering oak canopies every damn day. is there a dog in the history of canines happier than my happy. do n't think so. aim small miss small bushytail fricassee culinary delight. ,0.33,low,0.0,rule_based_default
1,621,A Pentagon study found that people who get the flu vaccine are 36% more likely to get COVID-19.,,,0.33,low,0.0,rule_based_default
1,62,Soap and hand sanitizer can be used to kill coronavirus in the body.,,,0.33,low,0.0,rule_based_default
1,61,ÒMass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.Ó,,,0.33,low,0.0,rule_based_default
1,821,Dr. Elisa Granato one of the first volunteers to receive a potential COVID-19 vaccine in the U.K. has died.,first volunteer in uk coronavirus vaccine trial has died elisa granato the first volunteer who availed herself in oxford for a jab in the first europe .... ,gos state government has announced the closure of the eti osa isolation center in the state. the state governor babajide sanwo olu announced this during the 17th update on the management of coronavirus in the state nan reports. according to the governor some of the isolation centres now have less than 20 per cent of occupancy. he also stated that the agidingbi isolation centre would also be closed and patients relocated to a large capacity centre indo centre in the anthony area which wou. ,0.33,low,0.0,rule_based_default
1,615,ÒThereÕs magically already a vaccine available.Ó,,,0.33,low,0.0,rule_based_default
1,827,Mosquitoes can spread COVID-19 “from person to person.”,[],see more of jtrell booth on facebook. ,0.33,low,0.0,rule_based_default
1,716,Posts shared thousands of times on social media list a number of adverse health effects linked to wearing face masks.,maybe people will think twice about wearing masks when they read this !. ,see more of kim hatch on facebook. ,0.33,low,0.0,rule_based_default
1,624,A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.,face masks you decide. this is worth a few minutes of your time. if you want to watch the video click on the see video link at the bottom then play it .... ,see more of jeff neff on facebook. ,0.33,low,0.0,rule_based_default
1,613,ÒThereÕs magically already a vaccine available.Ó,,,0.33,low,0.0,rule_based_default
1,690,People who have received flu vaccines in the past three to five years will “probably test positive” for COVID-19.,,see more of karen luke on facebook. ,0.33,low,0.0,rule_based_default
1,349,The WHO coronavirus test Òwas a bad test.Ó,president trump vice president mike pence and members of the coronavirus task force brief reporters at the white house on the latest developments and. ,president trump along with members of the white house coronavirus task force held a press briefing on the latest response efforts. the president said testing is now available in all 50 states. he also discussed his conversation with executives from different industry sectors and how the government would work with those sectors. he lauded good working relationships with republican and democratic lawmakers as well as with the nations governors. treasury secretary steve mnuchin outlined various. ,0.33,low,0.0,rule_based_default
1,484,A bovine vaccine can be used to inoculate people against coronavirus.,,,0.33,low,0.0,rule_based_default
1,665,A video has been shared thousands of times on social media claiming that circuit boards with “COV-19” inscribed on them are being fitted to 5G towers.,"official q qanon r ra rawgr q+ q+ has 197,653 members. iii patriots copatriots worldwide patriots constittional nationalists wwg1wga q+ .... ",join this group to post and comment .. ,0.33,low,0.0,rule_based_default
1,214,Health care workers union Òsuddenly finds a stash of 39 million face masks.Ó,,,0.33,low,0.0,rule_based_default
1,339,A dog vaccine can be used against coronavirus in people.,,,0.33,low,0.0,rule_based_default
1,661,Bill Gates’ coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus.,,what could possibly go wrong with fast tracking a hastily put together vaccine to treat an illness with a .26 fatality rate and mass producing the concoction for dissemination. that s what some in the medical community want to do with bill gates new vaccine for coronavirus which he began working on curiously a short time before coronavirus went viral. what could go wrong has now been made public as bill gates shoddily hastened vaccine has been determined to make all animal test subject. ,0.33,low,0.0,rule_based_default
1,764,Says wearing face masks is more harmful to your health than going without one.,,do you want to join facebook ?. ,0.33,low,0.0,rule_based_default
1,766,A card claiming to exempt the holder from wearing a face mask in public the real deal sanctioned by the government.,hipaa. ,see more of dawi 2 electric woogaloo on facebook. ,0.33,low,0.0,rule_based_default
1,477,Ads are selling masks protecting against COVID-19.,,,0.33,low,0.0,rule_based_default
1,123,Says the U.S. is developing an ÒantivirusÓ that includes a chip to track your movement.,,,0.33,low,0.0,rule_based_default
1,794,Wearing face masks can cause carbon dioxide toxicity; can weaken immune system.,what happens to you from prolonged use of wearing a mask ... psa this is hypercapnia. it can be caused by rebreathing your own exhaled co2 by .... ,see more of elvin deon diaz on facebook. ,0.33,low,0.0,rule_based_default
1,316,"A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook, Twitter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus, COVID-19, was ÒreadyÓ to be administered.",,,0.33,low,0.0,rule_based_default
1,224,Nevada Governor Steve Sisolak Òhas banned the use of an anti-malaria drug that might help cure coronavirus.Ó,,,0.33,low,0.0,rule_based_default
1,776,Gates Foundation stands to make nearly £31.5 billion on a coronavirus vaccine in U.K.,"at 477 per vaccine multiplied by 65 million people in the uk the bill melinda gates foundation are on course to make just under 31,500,000,000 .... ",meone you love ... and that includes protecting your energy from people and things that drain you physically mentally and emotionally. if you have nt already its time to start treating yourself like so. ,0.33,low,0.0,rule_based_default
1,671,Says the state “health secretary says don’t go to hospitals or clinics now the tourism secretary says don’t recreate.”,,we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,0.33,low,0.0,rule_based_default
1,111,"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquineÕs effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it Òworks.Ó",,,0.33,low,0.0,rule_based_default
1,780,Bill Gates said that the Catholic religion may have to be suspended forever because of the COVID-19 pandemic.,https://youtu.be/4x-kkqemmsq by br. alexis bugnolo ominously at 17:40 in this video bill gates implies that the catholic religion will remain outlawed until all can be certified to have received a vaccine if even then. he is talking about suspending the mass for 18 months or forever. and not only mass all professional sporting events. ,ominously at 17:40 in this video bill gates implies that the catholic religion will remain outlawed until all can be certified to have received a vaccine if even then. he is talking about suspending the mass for 18 months or forever. and not only mass all professional sporting events like football baseball soccer basketball hockey etc. etc .. i know there has always been speculation about bill gates name having the ascii value of 666 but his comments above are more ridiculous they. ,0.33,low,0.0,rule_based_default
1,346,Italy has mandated no treatment of all elderly patients for coronavirus.,,,0.33,low,0.0,rule_based_default
1,645,“In a very real sense (Oklahoma has) flattened the curve. … The number of cases in Oklahoma — it’s declined precipitously.”,donald trump held a roundtable on june 15 called fighting for america 's seniors. he also talked about his upcoming executive order on police reform his upcoming tulsa rally and the historic lgbt supreme court ruling. ,donald trump 00:00 alex azar secretary of housing and urban development ben carson who by the way was fantastic over the weekend in various interviews you did ben. really good job. i appreciate it. secretary of veterans affairs robert wilkie administrator seema verma chief postal inspector of the united states postal inspection service gary barksdale. garys done a great job especially with spotting drugs coming into our country. he s done a fantastic job. my administration is w. ,0.33,low,0.0,rule_based_default
1,101,"Former NYC Mayor Rudolph Giuliani said he Òbought $2M in shares of Novartis, a primary supplier of hydroxychloroquineÓ in early February.",,,0.33,low,0.0,rule_based_default
1,203,NY banned cigarette sales because of the coronavirus.,,governor andrew cuomo is considering a temporary six week ban on the sale of combustible cigarettes in order to reduce the states coronavirus death count a source familiar with his thinking tells the chronicle. the ban could come as soon as monday and is expected to be included in a budget measure already scheduled to be announced. new data out of italy suggest that the nations whopping coronavirus death rate now approaching 10 of those who test positive is highly correlated to cigarett. ,0.33,low,0.0,rule_based_default
1,206,If Queen Elizabeth II tested positive for coronavirus.,queen elizabeth ii has tested positive for the novel coronavirus buckingham palace confirmed in a shocking release a few minutes after prime minister boris johnson revealed he tested positive for coronavirus .. ,united kingdom- queen elizabeth ii has tested positive for the novel coronavirus buckingham palace confirmed in a shocking release a few minutes after prime minister boris johnson revealed he tested positive for coronavirus. news of the queen testing positive for covid-19 does not come as a surprise since there was a possibility that she could have been exposed by the virus during one of her weekly meetings with prime minister boris johnson who tested positive an hour ago. buckingham palace r. ,0.33,low,0.0,rule_based_default
1,424,ÒThe CDC can detain anyone with a fever indefinitely. Vaccination (is) a way people could get out of detention.Ó,,,0.33,low,0.0,rule_based_default
1,66,COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.,,,0.33,low,0.0,rule_based_default
1,612,ÒThereÕs magically already a vaccine available.Ó,,,0.33,low,0.0,rule_based_default
1,685,“Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.”,governor andrew cuomo held his daily new york coronavirus press conference on wednesday may 20. cuomo said the majority of coronavirus spread is in low income communities. read the full speech transcript here. ,andrew cuomo 25:32 a good way to start the day. from my left we have budget director robert mujica always smiling because that is our financial forecast its all smiles. melissa derosa secretary to the governor. from my far right we have dr. james inaudible 00:00:25:50 dr. howard zucker. to my immediate right mariah kennedy cuomo who is on special volunteer assignment for the state working for her father a very pleasant boss. were a little sad today mariah and i because th. ,0.33,low,0.0,rule_based_default
