ego_label,method,budget_requested,n_cells,mean_shortfall,max_blockers_graph,greedy_pool_size,budget_sanitized
detected_communities,fairness_aware_greedy_blocking,20,9,4.222222222222222,142,16,20
detected_communities,greedy_blocking,20,9,4.222222222222222,142,16,20
detected_communities,pagerank_blocking,20,9,0.0,142,16,20
detected_communities,random_blocking,20,9,0.0,142,16,20
detected_communities,top_degree_blocking,20,9,0.0,142,16,20
dev,fairness_aware_greedy_blocking,20,9,3.5555555555555554,113,16,20
dev,greedy_blocking,20,9,3.5555555555555554,113,16,20
dev,pagerank_blocking,20,9,0.0,113,16,20
dev,random_blocking,20,9,0.0,113,16,20
dev,top_degree_blocking,20,9,0.0,113,16,20
large_circles,fairness_aware_greedy_blocking,20,9,3.2222222222222223,229,17,20
large_circles,greedy_blocking,20,9,3.2222222222222223,229,17,20
large_circles,pagerank_blocking,20,9,0.0,229,17,20
large_circles,random_blocking,20,9,0.0,229,17,20
large_circles,top_degree_blocking,20,9,0.0,229,17,20
medium_circles,fairness_aware_greedy_blocking,20,9,3.7777777777777777,151,15,20
medium_circles,greedy_blocking,20,9,3.7777777777777777,151,15,20
medium_circles,pagerank_blocking,20,9,0.0,151,15,20
medium_circles,random_blocking,20,9,0.0,151,15,20
medium_circles,top_degree_blocking,20,9,0.0,151,15,20
moderate_large_circles,fairness_aware_greedy_blocking,20,9,1.4444444444444444,175,17,20
moderate_large_circles,greedy_blocking,20,9,1.4444444444444444,175,17,20
moderate_large_circles,pagerank_blocking,20,9,0.0,175,17,20
moderate_large_circles,random_blocking,20,9,0.0,175,17,20
moderate_large_circles,top_degree_blocking,20,9,0.0,175,17,20
