method,mean_infected,mean_worst_community_infection_rate,ego_label
no_intervention,61.604166666666664,0.4457387259539577,medium_circles
random_blocking,51.895833333333336,0.3922264269946389,medium_circles
top_degree_blocking,30.875,0.2862661620939766,medium_circles
pagerank_blocking,30.875,0.2862661620939766,medium_circles
greedy_blocking,32.625,0.2486400189214758,medium_circles
fairness_aware_greedy_blocking,32.770833333333336,0.2664905918217176,medium_circles
no_intervention,62.041666666666664,0.4700607064017659,medium_circles
random_blocking,57.229166666666664,0.4057014085987595,medium_circles
top_degree_blocking,45.958333333333336,0.3555003679175864,medium_circles
pagerank_blocking,46.5625,0.3904328287606433,medium_circles
greedy_blocking,45.958333333333336,0.3555003679175864,medium_circles
fairness_aware_greedy_blocking,47.333333333333336,0.3427415116156838,medium_circles
no_intervention,61.291666666666664,1.0,medium_circles
random_blocking,51.25,1.0,medium_circles
top_degree_blocking,37.291666666666664,1.0,medium_circles
pagerank_blocking,37.291666666666664,1.0,medium_circles
greedy_blocking,38.833333333333336,1.0,medium_circles
fairness_aware_greedy_blocking,37.958333333333336,1.0,medium_circles
no_intervention,59.979166666666664,0.5289633467023173,moderate_large_circles
random_blocking,55.729166666666664,0.4825939685314686,moderate_large_circles
top_degree_blocking,27.854166666666668,0.2315861454299588,moderate_large_circles
pagerank_blocking,27.854166666666668,0.2315861454299588,moderate_large_circles
greedy_blocking,32.145833333333336,0.2800799036156541,moderate_large_circles
fairness_aware_greedy_blocking,28.479166666666668,0.2416698138744285,moderate_large_circles
no_intervention,62.020833333333336,0.5979612299465241,moderate_large_circles
random_blocking,56.25,0.5667028743315509,moderate_large_circles
top_degree_blocking,46.0625,0.4205770944741533,moderate_large_circles
pagerank_blocking,46.520833333333336,0.4735433377896612,moderate_large_circles
greedy_blocking,45.395833333333336,0.4038881461675579,moderate_large_circles
fairness_aware_greedy_blocking,45.520833333333336,0.4173100490196078,moderate_large_circles
no_intervention,61.145833333333336,0.5660093582887701,moderate_large_circles
random_blocking,54.395833333333336,0.5089349376114082,moderate_large_circles
top_degree_blocking,43.791666666666664,0.4003397950089127,moderate_large_circles
pagerank_blocking,45.291666666666664,0.4359402852049911,moderate_large_circles
greedy_blocking,44.354166666666664,0.4043449197860962,moderate_large_circles
fairness_aware_greedy_blocking,44.25,0.4016488413547237,moderate_large_circles
no_intervention,63.041666666666664,0.5462215735653236,detected_communities
random_blocking,50.333333333333336,0.449352297008547,detected_communities
top_degree_blocking,33.4375,0.2983901226088726,detected_communities
pagerank_blocking,34.520833333333336,0.3180326617826617,detected_communities
greedy_blocking,32.020833333333336,0.2843422491859992,detected_communities
fairness_aware_greedy_blocking,34.0,0.2882151124338624,detected_communities
no_intervention,63.854166666666664,0.573951655982906,detected_communities
random_blocking,57.395833333333336,0.5609308226495727,detected_communities
top_degree_blocking,46.4375,0.4517895299145298,detected_communities
pagerank_blocking,46.4375,0.4517895299145298,detected_communities
greedy_blocking,46.895833333333336,0.4441773504273504,detected_communities
fairness_aware_greedy_blocking,47.208333333333336,0.4588341346153846,detected_communities
no_intervention,64.52083333333333,0.5403311965811967,detected_communities
random_blocking,57.333333333333336,0.472398695054945,detected_communities
top_degree_blocking,41.875,0.3469805657305657,detected_communities
pagerank_blocking,41.875,0.3469805657305657,detected_communities
greedy_blocking,42.708333333333336,0.3402777777777777,detected_communities
fairness_aware_greedy_blocking,42.270833333333336,0.3405575905575905,detected_communities
no_intervention,25.645833333333332,0.1784315152691511,large_circles
random_blocking,21.291666666666668,0.1462887479871175,large_circles
top_degree_blocking,18.75,0.1347818898090637,large_circles
pagerank_blocking,18.3125,0.1309237153496664,large_circles
greedy_blocking,17.145833333333332,0.1102321823959052,large_circles
fairness_aware_greedy_blocking,17.666666666666668,0.1238745830457787,large_circles
no_intervention,48.395833333333336,0.4428217376926616,large_circles
random_blocking,43.5,0.3682794887278582,large_circles
top_degree_blocking,38.583333333333336,0.3789785879629629,large_circles
pagerank_blocking,38.979166666666664,0.3754340277777777,large_circles
greedy_blocking,38.583333333333336,0.3582238828502415,large_circles
fairness_aware_greedy_blocking,38.5,0.3569155092592592,large_circles
no_intervention,42.25,0.3500847387566138,large_circles
random_blocking,39.729166666666664,0.3470155423280423,large_circles
top_degree_blocking,27.291666666666668,0.263599537037037,large_circles
pagerank_blocking,27.4375,0.2619460978835978,large_circles
greedy_blocking,28.604166666666668,0.2622767857142857,large_circles
fairness_aware_greedy_blocking,28.625,0.2842261904761904,large_circles
