severity_regime,method,budget_requested,n_cells,mean_shortfall,greedy_pool_size,budget_sanitized
high,fairness_aware_greedy_blocking,5,4,0.0,18.0,5.0
high,greedy_blocking,5,4,0.0,18.0,5.0
high,harm_aware_greedy_blocking,5,4,0.0,18.0,5.0
high,harm_aware_resilience_greedy_blocking,5,4,0.0,18.0,5.0
high,no_intervention,5,4,5.0,18.0,5.0
high,pagerank_blocking,5,4,0.0,18.0,5.0
high,random_blocking,5,4,0.0,18.0,5.0
high,top_degree_blocking,5,4,0.0,18.0,5.0
high,fairness_aware_greedy_blocking,10,4,0.0,18.0,10.0
high,greedy_blocking,10,4,0.0,18.0,10.0
high,harm_aware_greedy_blocking,10,4,0.0,18.0,10.0
high,harm_aware_resilience_greedy_blocking,10,4,0.0,18.0,10.0
high,no_intervention,10,4,10.0,18.0,10.0
high,pagerank_blocking,10,4,0.0,18.0,10.0
high,random_blocking,10,4,0.0,18.0,10.0
high,top_degree_blocking,10,4,0.0,18.0,10.0
high,fairness_aware_greedy_blocking,20,4,2.0,18.0,20.0
high,greedy_blocking,20,4,2.0,18.0,20.0
high,harm_aware_greedy_blocking,20,4,2.0,18.0,20.0
high,harm_aware_resilience_greedy_blocking,20,4,2.0,18.0,20.0
high,no_intervention,20,4,20.0,18.0,20.0
high,pagerank_blocking,20,4,0.0,18.0,20.0
high,random_blocking,20,4,0.0,18.0,20.0
high,top_degree_blocking,20,4,0.0,18.0,20.0
low,fairness_aware_greedy_blocking,5,4,0.0,18.0,5.0
low,greedy_blocking,5,4,0.0,18.0,5.0
low,harm_aware_greedy_blocking,5,4,0.0,18.0,5.0
low,harm_aware_resilience_greedy_blocking,5,4,0.0,18.0,5.0
low,no_intervention,5,4,5.0,18.0,5.0
low,pagerank_blocking,5,4,0.0,18.0,5.0
low,random_blocking,5,4,0.0,18.0,5.0
low,top_degree_blocking,5,4,0.0,18.0,5.0
low,fairness_aware_greedy_blocking,10,4,0.0,18.0,10.0
low,greedy_blocking,10,4,0.0,18.0,10.0
low,harm_aware_greedy_blocking,10,4,0.0,18.0,10.0
low,harm_aware_resilience_greedy_blocking,10,4,0.0,18.0,10.0
low,no_intervention,10,4,10.0,18.0,10.0
low,pagerank_blocking,10,4,0.0,18.0,10.0
low,random_blocking,10,4,0.0,18.0,10.0
low,top_degree_blocking,10,4,0.0,18.0,10.0
low,fairness_aware_greedy_blocking,20,4,2.0,18.0,20.0
low,greedy_blocking,20,4,2.0,18.0,20.0
low,harm_aware_greedy_blocking,20,4,2.0,18.0,20.0
low,harm_aware_resilience_greedy_blocking,20,4,2.0,18.0,20.0
low,no_intervention,20,4,20.0,18.0,20.0
low,pagerank_blocking,20,4,0.0,18.0,20.0
low,random_blocking,20,4,0.0,18.0,20.0
low,top_degree_blocking,20,4,0.0,18.0,20.0
medium,fairness_aware_greedy_blocking,5,4,0.0,18.0,5.0
medium,greedy_blocking,5,4,0.0,18.0,5.0
medium,harm_aware_greedy_blocking,5,4,0.0,18.0,5.0
medium,harm_aware_resilience_greedy_blocking,5,4,0.0,18.0,5.0
medium,no_intervention,5,4,5.0,18.0,5.0
medium,pagerank_blocking,5,4,0.0,18.0,5.0
medium,random_blocking,5,4,0.0,18.0,5.0
medium,top_degree_blocking,5,4,0.0,18.0,5.0
medium,fairness_aware_greedy_blocking,10,4,0.0,18.0,10.0
medium,greedy_blocking,10,4,0.0,18.0,10.0
medium,harm_aware_greedy_blocking,10,4,0.0,18.0,10.0
medium,harm_aware_resilience_greedy_blocking,10,4,0.0,18.0,10.0
medium,no_intervention,10,4,10.0,18.0,10.0
medium,pagerank_blocking,10,4,0.0,18.0,10.0
medium,random_blocking,10,4,0.0,18.0,10.0
medium,top_degree_blocking,10,4,0.0,18.0,10.0
medium,fairness_aware_greedy_blocking,20,4,2.0,18.0,20.0
medium,greedy_blocking,20,4,2.0,18.0,20.0
medium,harm_aware_greedy_blocking,20,4,2.0,18.0,20.0
medium,harm_aware_resilience_greedy_blocking,20,4,2.0,18.0,20.0
medium,no_intervention,20,4,20.0,18.0,20.0
medium,pagerank_blocking,20,4,0.0,18.0,20.0
medium,random_blocking,20,4,0.0,18.0,20.0
medium,top_degree_blocking,20,4,0.0,18.0,20.0
