propagation_mode,severity_regime,method,mean_total_harm,mean_infected,mean_worst_community_harm_rate
bucket,high,fairness_aware_greedy_blocking,115.8750000000001,48.28125,0.9678908637318564
bucket,low,fairness_aware_greedy_blocking,38.78125,38.78125,0.34466356062748527
bucket,medium,fairness_aware_greedy_blocking,69.64999999999999,43.53125,0.611198587972485
constant,high,fairness_aware_greedy_blocking,103.53750000000008,43.140625,0.965156528520499
constant,low,fairness_aware_greedy_blocking,43.375,43.375,0.39841124523454485
constant,medium,fairness_aware_greedy_blocking,69.05,43.15625,0.6301257984254308
linear,high,fairness_aware_greedy_blocking,114.8250000000001,47.84375,1.0009451593137257
linear,low,fairness_aware_greedy_blocking,37.046875,37.046875,0.3307944449086453
linear,medium,fairness_aware_greedy_blocking,69.075,43.171875,0.5839764775310652
bucket,high,greedy_blocking,116.25000000000011,48.4375,1.0067669703751065
bucket,low,greedy_blocking,38.65625,38.65625,0.37595987649835955
bucket,medium,greedy_blocking,69.42499999999998,43.390625,0.6370930417621594
constant,high,greedy_blocking,104.06250000000009,43.359375,0.9088096033868094
constant,low,greedy_blocking,43.640625,43.640625,0.4095144923499703
constant,medium,greedy_blocking,69.1,43.1875,0.6657942394615188
linear,high,greedy_blocking,113.40000000000009,47.25,1.0118248862044819
linear,low,greedy_blocking,36.84375,36.84375,0.36186630783942364
linear,medium,greedy_blocking,68.55,42.84375,0.6644541926619133
bucket,high,harm_aware_greedy_blocking,116.21250000000012,48.421875,1.0232283311051695
bucket,low,harm_aware_greedy_blocking,38.140625,38.140625,0.33079113747771827
bucket,medium,harm_aware_greedy_blocking,69.6,43.5,0.6747959373143196
constant,high,harm_aware_greedy_blocking,104.28750000000007,43.453125,0.8589372868712704
constant,low,harm_aware_greedy_blocking,43.40625,43.40625,0.4075058791323677
constant,medium,harm_aware_greedy_blocking,69.75,43.59375,0.6132128400602666
linear,high,harm_aware_greedy_blocking,113.3625000000001,47.234375,0.9918839126559715
linear,low,harm_aware_greedy_blocking,36.125,36.125,0.3268416587752525
linear,medium,harm_aware_greedy_blocking,69.19999999999999,43.25,0.5988033963585434
bucket,high,harm_aware_resilience_greedy_blocking,114.7500000000001,47.8125,0.9958968559014516
bucket,low,harm_aware_resilience_greedy_blocking,38.75,38.75,0.3557652002562388
bucket,medium,harm_aware_resilience_greedy_blocking,68.925,43.078125,0.6186447031052211
constant,high,harm_aware_resilience_greedy_blocking,102.93750000000009,42.890625,0.9013780486350821
constant,low,harm_aware_resilience_greedy_blocking,43.296875,43.296875,0.385764325338584
constant,medium,harm_aware_resilience_greedy_blocking,69.825,43.640625,0.6546863859180035
linear,high,harm_aware_resilience_greedy_blocking,112.72500000000011,46.96875,0.9945146780303029
linear,low,harm_aware_resilience_greedy_blocking,36.484375,36.484375,0.32681213738773474
linear,medium,harm_aware_resilience_greedy_blocking,69.02499999999999,43.140625,0.6442919046799322
