propagation_regime,method,mean_infected,worst_comm
high,fairness_aware_greedy_blocking,77.625,0.642232764913058
high,greedy_blocking,78.04166666666666,0.6400279673760543
high,no_intervention,98.03125000000001,0.7585525260414403
high,pagerank_blocking,77.578125,0.6613068357113875
high,random_blocking,90.25,0.6943253458937045
high,top_degree_blocking,77.765625,0.6441809852762557
low,fairness_aware_greedy_blocking,18.276041666666664,0.18964003052064102
low,greedy_blocking,18.171875,0.18605805118134072
low,no_intervention,19.9375,0.2080323437144994
low,pagerank_blocking,18.182291666666668,0.1834168025699817
low,random_blocking,19.244791666666664,0.19143556442103804
low,top_degree_blocking,18.130208333333336,0.18356211728441435
medium,fairness_aware_greedy_blocking,44.640625,0.39395030112748386
medium,greedy_blocking,44.208333333333336,0.39044743684068406
medium,no_intervention,59.078125,0.5211988325059644
medium,pagerank_blocking,44.625,0.422799931060653
medium,random_blocking,53.59375,0.47540364857693534
medium,top_degree_blocking,44.26041666666667,0.40171139506730813
